<<<<<<< HEAD
1;jilo;legume;4.69;CX;10000;2024-12-31
2;batata;frutos do mar;10.99;CX;900;2024-08-20
3;pacu;peixes;999.99;KG;1000;2024-08-30
4;abacaxi;fruta;20.50;UN;2000;2024-12-03
5;pessego;fruta;6.90;UN;10000;2025-02-01
6;hortela;vegetal;4.40;KG;10000;2025-04-12
7;cenoura;verdura;4.90;KG;10000;2024-11-31
=======
1;maca;fruta;55.99;UN;1000;2024-12-31
2;abacaxi;fruta;12.50;UN;10000;2024-12-28
3;abobora;fruta;25.99;UN;1000;2024-12-23
4;goiaba;fruta;12.55;UN;1000;2024-12-23
5;mexerica;fruta;5.59;UN;99;2025-01-12
>>>>>>> 949c53d08dbeff43b65325cdad3fdde9c411e012
